Number	Word 1	Word 2	Frequency	TScore	ChiScore
67	cava	superior	6	2.4442532046919423	2741.004193662622
68	compare	Section	6	2.373043379490759	181.09775590238178
69	corpus	callosum	6	2.4493056943739675	50519.510044101735
70	cut	off	6	2.4465271219048867	4780.317495655084
71	distal	end	6	2.4471148968502687	5914.564605408957
72	dorsal	side	6	2.3907063134555346	238.41271982398916
73	early	stage	6	2.44630151131979	4451.806430891337
74	fifth	nerve	6	2.442673930596268	2114.7191485240864
75	foramen	lacerum	6	2.4492760087706653	45841.333158810725
76	gives	rise	6	2.448355755068299	11837.855994424217
77	hyoid	apparatus	6	2.4476017407444237	7359.642896687663
78	hyoid	arch	6	2.4439919713828835	2613.2574784897397
79	inferior	cava	6	2.443718863832504	2490.841348454584
80	layer	cells	6	2.4386248143058555	1329.7120146356624
81	make	out	6	2.444193833485338	2711.501420012704
82	mesenteric	artery	6	2.445108150067044	3266.0965184823713
83	otic	capsules	6	2.447702671795651	7752.82734755999
84	posterior	nares	6	2.447839225570841	8356.783293560875
85	quadrate	cartilage	6	2.446313385561111	4470.1622612614665
86	renal	portal	6	2.448634799739339	15276.444037225026
87	right	auricle	6	2.4448587909993056	3092.9352123470703
88	sacculus	rotundus	6	2.44934725421859	58940.57135377604
89	sense	organs	6	2.444609431931568	2938.1167335589794
90	side	view	6	2.4178864518389775	452.6145952122155
91	sympathetic	chain	6	2.4483141952236753	11453.832897194383
92	third	ventricle	6	2.442115841254188	1954.7503717895943
93	transverse	process	6	2.444680677379493	2980.351253173224
94	true	vertebrata	6	2.445701862133087	3764.8187379463134
95	vas	deferens	6	2.4493828769425527	68765.0
96	vasa	efferentia	6	2.44934725421859	58940.57135377604
97	ventral	wall	6	2.425776885196688	606.2113209647372
98	See	text	5	2.2349786021036833	9544.444244647544
99	abdominal	vein	5	2.2258668588175965	1079.1144284054835
100	anterior	part	5	2.2270245249881344	1216.8272003412153
